???p??,?`????,?@.?A?L?????~???~,1.?A???~,2.?V?b???~,3.?L???~,4.?????~,?G.?g?????q???~,1.???o?????M??,2.?g???????????L?q???~,?T.?s?y?~???~,1.???~???}?~,2.????,3.????,4.?????~,5.???????A???~,6.?????????s?~,7.?????s?~,8.?????B???B???s?~???L???~,9.???o?????s?~,10.?????????????s?~?P???~,11.???????????s?~,12.?D?????q???s?~,13.????????,14.?????s?~,15.?q?l?s????,16.?q???B?q?l???~???????s?~,17.?q?O?]?????t??,18.?????]??,19.?B???u?????s??,20.?a???????]?~,21.?????u?~?s?~,?|.???q?U??,1.??,2.?q,3.?U??
110?~12??,103.16,103.24,104,101.1,100.79,105.57,100.16,102.23,100,103.24,102.48,100.45,100.74,103.06,101.2,101.28,104.01,103.15,106.63,101.65,101.61,102.68,107.34,110.29,102.29,99.82,103.69,101.78,100.68,102.05,100.85,102.12,100.85,99.84,114.1
111?~1??,103.58,100.37,98.24,101.15,101.61,105.87,100.66,102.23,100.54,103.66,104.08,100.52,100.38,103.2,101.34,101,104.94,104.78,111.66,101.38,101.39,103.62,105.33,108.68,103.24,99.72,104.51,101.93,100.99,103.07,101.17,104.94,100.97,101.84,121.87
111?~2??,105.16,99.22,96.66,99.32,101.89,107.72,101.01,102.23,100.92,105.49,104.6,100.59,100.41,105.15,102.01,102.31,105.52,105.33,120.91,105.42,101.82,103.98,105.14,109.68,104.02,101.05,105.91,102.56,101.37,104.57,101.5,104.7,100.97,101.53,121.87
111?~3??,109.14,102.13,100.35,101.66,101.31,109.29,101.41,102.23,101.35,109.66,105.72,100.68,100.48,107.41,102.59,104.73,107.99,105.83,138.11,113.17,103.21,105.35,109.21,113.73,106.32,102.92,108,104.24,102.28,105.76,102.97,106.43,100.97,102.03,130.42
111?~4??,111.89,107.01,104.37,108.42,101.63,112.79,102.34,102.23,102.35,112.33,107.29,100.76,100.57,109.42,103.53,106.51,108.75,106.22,143.16,115.12,105.04,106.21,114.42,115.07,109.83,104.53,110.91,106.41,103.18,108.98,105.2,108.98,100.97,103.38,139.82
111?~5??,113.34,108.75,104.33,114.28,101.39,111.2,102.77,102.23,102.81,113.56,108.05,100.75,100.63,110.33,104.25,107.61,111.24,106.52,147.55,114.51,106.23,108.32,114.96,116.4,111.84,105.96,112.37,107.53,103.98,109.68,106.12,113.76,100.97,105.3,160.51
111?~6??,113.68,107.96,103.94,113.34,101.53,109.33,102.83,102.23,102.88,113.67,108.63,101.38,100.56,111.55,104.45,107.59,113.06,106.59,154.39,112.94,106.01,108.45,112.43,116.64,112.06,106.09,110.73,107.86,103.9,109.78,106.54,118.84,100.97,111.7,160.51
111?~7??,112.28,107.18,100.79,112.6,101.61,116.57,102.93,102.23,102.98,111.68,109.66,101.72,100.59,112.2,104.38,109.07,113.89,106.78,146.28,107.7,105.86,109.51,107.3,115.63,111.39,106.14,109.62,108.42,104.17,110.37,106.93,126.44,100.97,120.03,166.71
111?~8??,110.83,106.53,100.23,114.93,101.37,108.8,104.23,102.23,104.37,109.77,109.59,101.81,100.62,111.87,104.66,109.49,113.92,106.56,136.62,101.42,105.47,110.26,103.24,111.94,113.09,106.87,104.94,108.93,104.76,110.87,107.75,131.86,100.97,125.57,173.23
111?~9??,112.04,112.3,106.49,115.6,100.94,124.55,105.08,102.23,105.28,110.75,110.43,102.33,100.77,112.36,105.89,112.95,112.79,106.97,134.29,101.2,106.85,110.7,101.97,111.02,116.17,109.34,107.84,110.75,106.22,113.49,110.43,133.37,100.97,126.11,180.07
111?~10??,112.82,110.62,106.49,113.55,100.51,118.05,105.08,102.23,105.28,111.91,110.72,102.43,101.01,113.48,106.71,115.24,111.25,106.88,136.39,101.95,107.71,110.94,101.16,110.59,119.02,110.7,107.99,111.93,106.97,115.33,112,129.81,100.97,120.22,187.26
111?~11??,111.73,106.47,98.06,113.95,100.51,118.03,104.8,102.23,104.99,110.79,111.07,102.59,100.94,111.56,106.75,113.73,111.09,106.09,134.8,99.08,107.13,111.24,99.62,109.54,118.55,109.38,107.81,111.17,106.6,113.14,110.57,131.53,100.97,120.89,194.8
111?~12??,109.68,110.91,106.21,112.64,100.51,123.03,104.8,102.23,104.99,108.29,111.03,102.55,100.84,109.83,106.03,111.46,110.58,105.09,125.23,95.29,105.82,111.63,99.12,107.18,115.8,107.04,108.86,110.1,105.89,112.56,108.88,131.56,100.97,120.93,194.8
112?~1??,109.59,110.68,105.38,113.32,100.51,122.5,104.8,102.23,104.99,107.99,111.07,102.57,101.21,108.71,105.75,110.92,109.36,104.98,126.09,95.14,105.67,112.65,99.96,106.48,114.9,106.31,109.71,109.7,106.29,110.67,108.56,135.14,101.44,125.93,194.8
112?~2??,109.07,106.56,98,114.32,100.62,116.47,104.65,102.23,104.83,107.72,110.92,102.4,101.19,108.37,105.64,110.74,108.56,104.65,126.75,96.88,105.55,112.69,100.48,106.08,113.57,105.42,111.35,108.8,105.86,109.96,107.47,132.69,102.42,122.43,194.8
112?~3??,109.26,109.87,98.69,120.65,100.62,121.19,104.8,102.23,104.99,108.08,111.56,102.53,101.21,108.37,106.35,111.57,108.27,104.39,122.15,98.25,106.34,113.04,101.54,106.35,113.89,106.21,111.36,109.54,106.68,110.84,108.61,128.21,102.42,120.16,181.37
112?~4??,109.4,109.36,96.85,123.06,100.62,117.59,104.87,102.23,105.06,108.01,111.78,102.62,101.25,108.53,106.44,111.56,108.34,103.81,123.09,97.6,106.21,113.07,102.11,106.58,113.54,106.45,111.73,109.74,106.74,111.26,108.67,132.2,102.42,128.53,172.1
112?~5??,108.86,108.45,96.77,122.11,100.62,113.85,104.87,102.23,105.06,107.39,111.24,102.49,101.25,107.79,106.64,111.39,108.33,103.38,117.44,95.22,106.12,112.76,101.18,107.02,113.82,105.9,111.65,109.95,107.01,111.56,108.61,133.2,101.44,129.98,172.1
112?~6??,108.18,100.44,83.99,119.31,100.62,109.12,105.01,102.23,105.21,106.65,110.7,103.17,101.25,107.61,106.07,111.76,108.26,102.73,117.47,91.7,106.09,112.43,98.75,105.97,114.01,105.87,110.37,110.1,107.09,111.52,108.72,137.95,101.44,136.65,172.1
112?~7??,108.77,103.89,90.93,118.52,100.62,111.26,105.21,102.23,105.42,107.29,111.43,103.41,102.27,108.24,106.6,112.53,108,102.49,119.69,91.39,106.48,113.35,97.22,105.64,115.5,106.56,110.78,110.8,107.72,112.51,109.35,135.95,101.44,136.01,164.83
112?~8??,110.94,114.54,109.79,123.12,100.03,108.39,105.28,102.23,105.5,109.35,111.93,103.39,103.94,108.73,107.68,113.78,108.28,102.1,131.61,94.76,107.32,113.51,97.39,105.68,117.54,108.17,111.96,111.63,108.61,114.11,110.34,134.86,101.44,135.72,160.7
112?~9??,112.22,120.49,122.52,123.31,99.86,105.25,105.59,102.23,105.82,110.55,111.91,103.41,103.92,109.05,108.22,114.28,107.85,101.64,137.3,97.92,108.01,113.49,98.32,106.36,118.34,109.06,112.43,111.74,108.57,114.6,111.09,134.41,101.44,135.65,158.82
112?~10??,112.39,124.98,129.77,122.49,99.34,113.99,106.04,102.23,106.3,110.85,111.32,104.75,104.33,110.08,108.65,113.99,107.76,101.77,132.21,98.59,108.38,113.92,98.7,106.53,119.12,110.16,112.87,112.19,108.66,116.46,111.9,129.85,101.44,129.25,158.82
112?~11??,110.79,117.99,120.56,118.42,98.82,107.21,106.89,102.23,107.2,109.41,111.02,104.74,104.33,109.04,108.44,114.38,107.18,101.32,126.77,96.17,107.41,113.72,98.09,106.01,117.56,109.24,111.72,111.51,108.13,115.57,111.55,128.86,102.43,127.81,158.82
112?~12??,109.05,113.27,111.36,114.81,98.71,115.74,107.06,102.23,107.38,107.68,110.64,104.6,104.27,108.03,107.27,112.57,106.78,101.09,121.55,94.4,106.44,113.96,97.83,104.02,115.23,107.56,111.4,110.37,107.42,113.88,109.16,128.86,102.43,127.81,158.82
113?~1??,108.84,114.22,112.28,115.12,98.92,118.51,107.83,102.23,108.19,107.54,109.51,105.04,104.67,108.19,107.03,112.1,106.81,100.46,121.94,94.39,106.24,113.93,98.63,103.87,114.83,107.6,111.57,110.02,107.23,113.7,109.24,126.59,102.67,124.61,158.82
113?~2??,109.2,107.79,101.64,113.71,98.92,113.87,108.17,102.23,108.55,108.2,108.85,104.75,104.68,108.2,107.67,112.45,106.82,100.47,123.84,96.03,106.58,113.88,98.91,104.64,115.41,108.33,111.81,110.2,107.48,114.27,110.31,126.28,102.76,124.17,158.82
113?~3??,109.77,105.31,99.35,109.73,98.92,114.76,107.66,102.23,108.01,109.05,108.11,105.13,104.72,108.99,107.65,113.03,106.94,100.65,125.18,98,107.25,114.03,99.48,105.39,116.22,108.81,112.8,110.87,107.84,115.06,110.97,124.18,102.81,123.69,150.57
113?~4??,111.66,105.11,97.75,111.27,98.92,114.99,108.23,102.23,108.61,110.74,108.39,105.34,104.77,109.91,108.5,114.59,107.64,100.92,127.95,100.32,108.43,114.08,100.55,107.31,118.14,110.96,115.72,111.75,108.62,116.84,112.28,130.68,102.81,134.05,146.45
113?~5??,111.88,109.99,105.59,114.46,99.29,113.6,108.23,102.23,108.61,110.78,108.2,105.49,104.79,110.19,108.43,114.5,107.55,101.27,123.52,100.14,108.6,113.94,101.46,107.4,118.29,111.71,119.56,111.94,108.5,116.75,112.71,130.94,101.83,135.53,142.86
113?~6??,112.06,103.79,95.72,112.72,98.86,108.8,107.45,105.21,107.62,110.88,108.11,105.53,104.78,110.6,108.58,114.64,107.81,101.95,121.73,100.05,108.75,114.1,101.47,107.9,118.41,112.3,121.9,111.96,108.46,116.88,112.81,136.45,101.83,143.2,143.07
113?~7??,112.75,109.4,107,113.93,98.86,105.65,107.45,105.59,107.6,111.42,107.49,105.71,104.83,110.64,109.26,114.59,107.71,101.84,124.51,100.55,109.37,114.46,101.24,108.33,119.1,113.51,120.88,112.24,108.86,117.65,113.06,136.58,101.83,143.26,143.48
113?~8??,112.73,123.79,132.44,118.8,98.86,105.48,108.49,116.33,108.09,110.79,107.52,105.53,104.81,110.18,108.02,113.79,107.96,102.18,123.67,99.62,109.01,115.59,99.97,107.84,118.41,112.43,119.8,111.96,108.89,116.69,112.91,137.64,101.83,143.49,147.69
113?~9??,111.73,124.27,134.81,116.04,98.66,107.85,109.27,121.9,108.59,109.61,107.24,105.33,104.8,109.33,107.6,113.12,107.81,101.94,118.57,97.48,108.27,115.54,98.88,106.79,117.56,111.68,118.08,111.49,108.73,116,111.47,138.67,101.83,143.62,152.07
113?~10??,111.51,123.77,133.84,113.4,98.66,114.78,108.62,121.9,107.91,109.52,107.25,105.61,104.95,109.11,108.3,113.6,107.91,102.1,119.2,96.94,108.3,115.15,97.69,106.09,117.84,111.21,119.07,111.58,108.59,115.95,111.33,136.39,101.83,140.42,152.07
113?~11??,112.1,127.36,140.17,115.87,98.66,111.47,108.72,123.71,107.91,109.9,107.13,105.68,104.94,109.03,109.02,114.01,108.07,102.12,119.03,96.56,108.69,115.03,98.24,106.5,118.73,111.51,119.91,111.83,108.79,116.61,111.69,138.67,101.83,143.43,152.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?????G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.???????d?????~???????????A????3???????????i???????C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.????????????????110?~1???}?l?s???C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.?t?X?g?????????p?????u???????q?~?????X???T?q?@???t???l?q???q?O?v(???????~4??1??)?v?A?l?????????????O??????113?~4???C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
